Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"tap(findTestObject(""Object Repository/android.widget.TextView - Securely pay  1,010.00""), 0)",,,,2021-11-02 14:03:58,2021-11-02 14:03:59,1.501s,PASSED
,,,,,,,
Test Cases/fundWallet,,,,2021-11-02 14:03:59,2021-11-02 14:05:18,1m - 18.239s,PASSED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-02 14:04:00,2021-11-02 14:04:28,28.093s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Skip (3)""), 0)",,,,2021-11-02 14:04:28,2021-11-02 14:04:31,3.371s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign In (6)""), 0)",,,,2021-11-02 14:04:31,2021-11-02 14:04:40,8.644s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Phone number (3)""), ""08990001100"", 0)",,,,2021-11-02 14:04:40,2021-11-02 14:04:43,2.414s,PASSED
"tap(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (6)""), 0)",,,,2021-11-02 14:04:43,2021-11-02 14:04:43,0.894s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (7)""), ""1234"", 0)",,,,2021-11-02 14:04:43,2021-11-02 14:04:46,2.849s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign in (7)""), 0)",,,,2021-11-02 14:04:46,2021-11-02 14:04:47,0.928s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Fund Wallet""), 0)",,,,2021-11-02 14:04:47,2021-11-02 14:04:57,9.525s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Add money with a debit card (2)""), 0)",,,,2021-11-02 14:04:57,2021-11-02 14:05:03,5.936s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Continue (1)""), 0)",,,,2021-11-02 14:05:03,2021-11-02 14:05:04,1.100s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - 0.00 (3)""), ""1000"", 0)",,,,2021-11-02 14:05:04,2021-11-02 14:05:06,2.148s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Proceed (2)""), 0)",,,,2021-11-02 14:05:06,2021-11-02 14:05:08,2.215s,PASSED
"tap(findTestObject(""Object Repository/android.widget.RadioButton (4)""), 0)",,,,2021-11-02 14:05:08,2021-11-02 14:05:13,4.487s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Confirm payment (3)""), 0)",,,,2021-11-02 14:05:13,2021-11-02 14:05:13,0.481s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Securely pay 1,010 (2)""), 0)",,,,2021-11-02 14:05:13,2021-11-02 14:05:15,1.435s,PASSED
closeApplication(),,,,2021-11-02 14:05:15,2021-11-02 14:05:18,3.038s,PASSED
,,,,,,,
Test Cases/transactionfilter,,,,2021-11-02 14:05:18,2021-11-02 14:07:05,1m - 47.272s,FAILED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-02 14:05:18,2021-11-02 14:05:48,29.786s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Skip (4)""), 0)",,,,2021-11-02 14:05:48,2021-11-02 14:05:52,3.641s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign In (8)""), 0)",,,,2021-11-02 14:05:52,2021-11-02 14:06:01,9.568s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Phone number (4)""), ""08990001100"", 0)",,,,2021-11-02 14:06:01,2021-11-02 14:06:04,2.817s,PASSED
"tap(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (8)""), 0)",,,,2021-11-02 14:06:04,2021-11-02 14:06:05,1.054s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (9)""), ""1234"", 0)",,,,2021-11-02 14:06:05,2021-11-02 14:06:08,2.381s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign in (9)""), 0)",,,,2021-11-02 14:06:08,2021-11-02 14:06:08,0.897s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Transactions""), 0)",,,,2021-11-02 14:06:08,2021-11-02 14:06:19,10.839s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Spinner""), 0)",,,,2021-11-02 14:06:19,2021-11-02 14:06:25,5.451s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Wallet""), 0)",,,,2021-11-02 14:06:25,2021-11-02 14:06:27,1.760s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Carbon Wallet . 1157 AM""), 0)",,,,2021-11-02 14:06:27,2021-11-02 14:06:42,15.093s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (4)""), 0)",,,,2021-11-02 14:06:42,2021-11-02 14:06:43,1.188s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Spinner (1)""), 0)",,,,2021-11-02 14:06:43,2021-11-02 14:06:44,1.596s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Airtime""), 0)",,,,2021-11-02 14:06:44,2021-11-02 14:06:46,2.023s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - quickteller - SUCCESS . 0109 PM""), 0)",,,,2021-11-02 14:06:46,2021-11-02 14:07:04,17.379s,PASSED
"tap(findTestObject(""""), 0)",,,,2021-11-02 14:07:04,2021-11-02 14:07:05,1.054s,FAILED
