Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/android.widget.EditText - e.g 08031234567""), ""08990001100"", 0)",,,,2021-11-01 23:53:03,2021-11-01 23:53:15,11.694s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - 1000""), 0)",,,,2021-11-01 23:53:15,2021-11-01 23:53:17,2.399s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (1)""), 0)",,,,2021-11-01 23:53:17,2021-11-01 23:53:19,1.558s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Next""), 0)",,,,2021-11-01 23:53:19,2021-11-01 23:53:21,1.584s,PASSED
"tap(findTestObject(""Object Repository/android.widget.RadioButton (1)""), 0)",,,,2021-11-01 23:53:21,2021-11-01 23:53:24,3.265s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Confirm payment""), 0)",,,,2021-11-01 23:53:24,2021-11-01 23:53:25,0.873s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Securely pay  1,010.00""), 0)",,,,2021-11-01 23:53:25,2021-11-01 23:53:27,1.990s,PASSED
,,,,,,,
Test Cases/fundWallet,,,,2021-11-01 23:53:27,2021-11-01 23:54:44,1m - 17.819s,PASSED
"startApplication(""C:\Users\user\Desktop\carbon\carbon_ng-v6.7.1_signed.apk"", true)",,,,2021-11-01 23:53:27,2021-11-01 23:53:54,26.818s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Skip (3)""), 0)",,,,2021-11-01 23:53:54,2021-11-01 23:53:58,3.597s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign In (6)""), 0)",,,,2021-11-01 23:53:58,2021-11-01 23:54:06,8.386s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Phone number (3)""), ""08990001100"", 0)",,,,2021-11-01 23:54:06,2021-11-01 23:54:09,2.836s,PASSED
"tap(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (6)""), 0)",,,,2021-11-01 23:54:09,2021-11-01 23:54:10,0.931s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - Enter PIN (7)""), ""1234"", 0)",,,,2021-11-01 23:54:10,2021-11-01 23:54:13,2.953s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Sign in (7)""), 0)",,,,2021-11-01 23:54:13,2021-11-01 23:54:15,1.958s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Fund Wallet""), 0)",,,,2021-11-01 23:54:15,2021-11-01 23:54:24,8.930s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Add money with a debit card (2)""), 0)",,,,2021-11-01 23:54:24,2021-11-01 23:54:30,6.287s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Continue (1)""), 0)",,,,2021-11-01 23:54:30,2021-11-01 23:54:31,0.949s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText - 0.00 (3)""), ""1000"", 0)",,,,2021-11-01 23:54:31,2021-11-01 23:54:33,2.519s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - Proceed (2)""), 0)",,,,2021-11-01 23:54:33,2021-11-01 23:54:34,1.001s,PASSED
"tap(findTestObject(""Object Repository/android.widget.RadioButton (4)""), 0)",,,,2021-11-01 23:54:34,2021-11-01 23:54:39,4.252s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Confirm payment (3)""), 0)",,,,2021-11-01 23:54:39,2021-11-01 23:54:40,0.866s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Securely pay 1,010 (2)""), 0)",,,,2021-11-01 23:54:40,2021-11-01 23:54:42,1.980s,PASSED
closeApplication(),,,,2021-11-01 23:54:42,2021-11-01 23:54:44,2.889s,PASSED
